imdbId,Review
tt0903747,"I have never watched a show that is as consistently genuine and engaging as Breaking Bad. This is undoubtedly one of the greatest shows ever, and it consistently improves as it progresses.The Journeys of Walter White and Jesse Pinkman are unforgettable. These are some of the best-written characters to ever come from a pen-hitting paper.My praises for the acting and cinematography are unending. Some of the shots are intricate works of art, and I was rarely distracted by the acting. The performances are excellent to the extent that it feels improper to refer to them as performances.Overall, Breaking Bad consistently maintains a level of engagement and technical quality seen in only the best of movies, and in terms of tone, every intense moment is executed with excellence and always achieves the impact it reaches for.I feel like the show's plot in the early seasons lacks a certain level of complexity due to it not having a vast amount of plot threads, and the start is a bit slow-paced, but Breaking Bad is an absolute must-watch. If you have mixed feelings towards Season 1, trust me, it is only uphill from there.If there was ever a series you could call perfect, I think this might be it."
tt0903747,Re-Watched it 7 times and counting. I guess I liked it.
tt0903747,"One of the greatest shows ever, the pacing is excellent. The characters are well developed and entertaining. The show ties everything together very neatly. It's honestly a show that get's better each time you view it. It's cathartic to see Walter break bad and how the story unravels is the best way it could have. Very good storytelling, well done to Vince Gilligan."
tt0903747,I cannot stress enough how good this show is. I've watched a lot of TV in my life and this show still remains the best show I've ever seen.
tt0903747,"Breaking Bad is absolutely, without a doubt, one of the greatest tv shows ever created...it's damn near perfect! I know that people say that about a ton of different shows but Breaking Bad really is universally thought of as one of the greatest shows of all-time. All you have to do is go google ""greatest tv shows of all-time"" and I guarantee you that it's at or near the top of every list you'll find and there's a reason for that...because it is! Every season is just as brilliant as the others, which everyone knows is almost impossible for a show to do but one which Breaking Bad absolutely pulls off!! If you're one of the few people who still haven't seen this amazing show then do yourself a favor and go watch this immediately...you will not be disappointed!"
tt0903747,When you finish the show you'll never be the same..I guarantee you
tt0903747,Breaking Bad is every bit as good as everyone says it is. It's easily one of my favorites shows of all-time and one of the best shows in the history of television. Just read through the reviews and look at the 9.5 rating to see how loved this show really is. The writing and acting is what makes this show so special. I love this show so much that I've already watched it all the way through twice already and plan on doing so again sometime in the near future. There's nothing more I can say about this incredible show that hasn't already been said so just go watch it. But plan ahead to give yourself enough time because you're going to want to binge this as quickly as you can. It's addicting once you start!
tt0903747,I wanna delete my brain and watch it again like I never knew it.
tt0903747,Direction- PERFECT!!Screenplay-PERFECT!!Writing-PERFECT!!Score-PERFECT!!Cinematography-PERFECT!!Casting-PERFECT!!Beginning-PERFECT!!Climax-PERFECT!!Acting-BEYOND PERFECT!!Overall-(as I said) ABSOLUTE PERFECTION.
tt0903747,"I have never watched any series which depicts emotions so exactly through camera angles, dialogues, screen play, perfect story line other than ""Breaking Bad"". We all are lucky enough to be born to watch series like this. Teaches us loyalty, family love, pain and many more things.More than anything this series teaches people to live life the different way and changes people mindset towarss life.There are scenes which will stay with you forever after this series and it will change the way you watch TV Series and life for that matter.I don't think I will ever see any series which will be better than this.Perfection!"
tt0903747,"In 29/9 and same time this Date is Final Episode Day ( Filena ) This is The Best Tv Show I have ever had season one a little slow like season two and season three but seasons four, Season Five Was Perfect Very Good Character have in this TV Show Like Walter White, Giancarlo Esposito, Mike, Hank And Jesse I Love All Of Them What'a Story Breaking Bad in My Heart And Stay in My Brain Forever I Will Miss This Tv Show Coming Soon But The Good Point is I'm not saw Better Call Saul Next Up is Better Call Saul I'm Happy to See The Best TV Show Ever This Date For My Is Very Special 29 9 2024 At 5:30AM I Awake To Watch Filena Final Episode Thank You Breaking Bad I Love You."
tt0903747,"If i say that it was good , but not excellent , every fan will try to kill me , but it's my opinion"
tt0903747,I watched like 4 episodes but then I dropped it. It had bit of some thriller scenes but not quite like I expected. Idk if I should keep watching it
